time,value
2024-02-23T16:22:13.410210185Z,220
2024-02-23T16:22:24.242617476Z,220
2024-02-23T16:22:35.082241448Z,220
2024-02-23T16:22:45.932011973Z,219
2024-02-23T16:22:56.770308117Z,219
2024-02-23T16:23:07.60815015Z,219
2024-02-23T16:23:18.45475079Z,219
2024-02-23T16:23:29.283484586Z,219
2024-02-23T16:23:40.101577836Z,219
2024-02-23T16:23:50.942336601Z,219
2024-02-23T16:24:01.768202515Z,219
2024-02-23T16:24:12.602366962Z,219
2024-02-23T16:24:23.451788367Z,219
2024-02-23T16:24:34.279867969Z,219
2024-02-23T16:24:45.116649225Z,219
2024-02-23T16:24:55.947961782Z,219
2024-02-23T16:25:06.777521546Z,219
2024-02-23T16:25:17.625964746Z,219
2024-02-23T16:25:28.456705048Z,218
2024-02-23T16:25:39.289427865Z,218
2024-02-23T16:25:50.135842493Z,218
2024-02-23T16:26:00.970238249Z,218
2024-02-23T16:26:11.808003387Z,218
2024-02-23T16:26:22.63985191Z,218
2024-02-23T16:26:33.47208874Z,218
2024-02-23T16:26:44.303609962Z,218
2024-02-23T16:26:55.15591741Z,218
2024-02-23T16:27:05.991333607Z,218
2024-02-23T16:27:16.850206694Z,218
2024-02-23T16:27:27.683541932Z,218
2024-02-23T16:27:38.518623185Z,218
2024-02-23T16:27:49.356514257Z,218
2024-02-23T16:28:00.190166904Z,218
2024-02-23T16:28:11.023737199Z,218
2024-02-23T16:28:21.866330534Z,218
2024-02-23T16:28:32.701450791Z,218
2024-02-23T16:28:43.532769929Z,218
2024-02-23T16:28:54.384167729Z,218
2024-02-23T16:29:05.210298332Z,218
2024-02-23T16:29:16.045418485Z,218
2024-02-23T16:29:26.882954481Z,218
2024-02-23T16:29:37.703677526Z,218
2024-02-23T16:29:48.54162774Z,218
2024-02-23T16:29:59.381312511Z,217
2024-02-23T16:30:10.21720252Z,218
2024-02-23T16:30:21.059052926Z,217
2024-02-23T16:30:31.897085972Z,217
2024-02-23T16:30:42.720145659Z,217
2024-02-23T16:30:53.566210734Z,217
2024-02-23T16:31:04.400524058Z,217
2024-02-23T16:31:15.231359693Z,217
2024-02-23T16:31:26.083016681Z,217
2024-02-23T16:31:36.915053237Z,217
2024-02-23T16:31:47.749889715Z,217
2024-02-23T16:31:58.586014445Z,217
2024-02-23T16:32:09.409530838Z,217
2024-02-23T16:32:20.24879469Z,217
2024-02-23T16:32:31.085687034Z,217
2024-02-23T16:32:41.918597235Z,217
2024-02-23T16:32:52.760854491Z,217
2024-02-23T16:33:03.598568503Z,217
2024-02-23T16:33:14.430314775Z,217
2024-02-23T16:33:25.276463662Z,217
2024-02-23T16:33:36.100366757Z,217
2024-02-23T16:33:46.9366139Z,217
2024-02-23T16:33:57.770771009Z,217
2024-02-23T16:34:08.604349316Z,217
2024-02-23T16:34:19.431195698Z,217
2024-02-23T16:34:30.278954944Z,217
2024-02-23T16:34:41.11394359Z,217
2024-02-23T16:34:51.95712584Z,217
2024-02-23T16:35:02.796264377Z,216
2024-02-23T16:35:13.626752892Z,216
2024-02-23T16:35:24.474376262Z,216
2024-02-23T16:35:35.304694361Z,216
2024-02-23T16:35:46.139374872Z,216
2024-02-23T16:35:56.975230166Z,216
2024-02-23T16:36:07.798699689Z,217
2024-02-23T16:36:18.62355771Z,219
2024-02-23T16:36:29.466692978Z,226
2024-02-23T16:36:40.306760477Z,238
2024-02-23T16:36:51.141175087Z,248
2024-02-23T16:37:01.98390037Z,250
2024-02-23T16:37:12.816239874Z,250
2024-02-23T16:37:23.655942221Z,249
2024-02-23T16:37:34.497244387Z,246
2024-02-23T16:37:45.334100419Z,243
2024-02-23T16:37:56.182395665Z,241
2024-02-23T16:38:07.01301422Z,239
2024-02-23T16:38:17.83276497Z,238
2024-02-23T16:38:28.679994059Z,236
2024-02-23T16:38:39.505309902Z,235
2024-02-23T16:38:50.337707572Z,235
2024-02-23T16:39:01.180877286Z,234
2024-02-23T16:39:12.011537935Z,234
2024-02-23T16:39:22.843043298Z,233
2024-02-23T16:39:33.686631041Z,233
2024-02-23T16:39:44.521765765Z,233
2024-02-23T16:39:55.366113457Z,232
2024-02-23T16:40:06.209170351Z,231
2024-02-23T16:40:17.038774633Z,230
2024-02-23T16:40:27.884359134Z,229
2024-02-23T16:40:38.71110162Z,228
2024-02-23T16:40:49.539859396Z,227
2024-02-23T16:41:00.387629109Z,226
2024-02-23T16:41:11.223422415Z,225
2024-02-23T16:41:22.05099591Z,224
2024-02-23T16:41:32.901739268Z,223
2024-02-23T16:41:43.735100115Z,221
2024-02-23T16:41:54.558827236Z,220
2024-02-23T16:42:05.407154982Z,218
2024-02-23T16:42:16.241071643Z,217
2024-02-23T16:42:27.090241689Z,215
2024-02-23T16:42:37.927118488Z,214
2024-02-23T16:42:48.75975607Z,213
2024-02-23T16:42:59.602247753Z,212
